"category","name","imo","mmsi","sanctioned","sanctions","note"
"shadow_fleet","MD MIRANDA","","570101472","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/937"
"shadow_fleet","FOTUO","","613902601","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/967"
"shadow_fleet","STORM PEARL","","577104000","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/970"
"shadow_fleet","OCEAN AUTUMN","","629009596","true","Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/992"
"shadow_fleet","ARIA","","273267690","true","Australia, Canada, EU, New Zealand, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/681"
"shadow_fleet","VICTOR KONETSKY","","629009614","true","Australia, Canada, EU, New Zealand, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/692"
"shadow_fleet","VIKTOR TITOV","","629009618","true","Australia, Canada, EU, New Zealand, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/693"
"shadow_fleet","PRAVASI","","632001125","true","Australia, Canada, EU, New Zealand, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/719"
"shadow_fleet","NOBLE","","620999958","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/766"
"shadow_fleet","INA","","610000035","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/784"
"shadow_fleet","TEMIRO","","613579000","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/802"
"shadow_fleet","FLORA 1","","511101742","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/803"
"shadow_fleet","NEVAH","","620800043","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/805"
"shadow_fleet","JI XIANG","","352002469","true","Australia, Canada, EU, New Zealand, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/806"
"shadow_fleet","JUPITER I","","273253180","true","Australia, Canada, New Zealand, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/807"
"shadow_fleet","SKY RIDER","","511100837","true","Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/859"
