name,imo,mmsi,detail_url,source
ODIN,9151890,273426280,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/980,GUR War & Sanctions – Marine vessels
LYDYA N,9153525,613569709,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/820,GUR War & Sanctions – Marine vessels
THEMIR,9154000,620800008,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/838,GUR War & Sanctions – Marine vessels
VICTORY LIGHT,9161871,352003191,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/926,GUR War & Sanctions – Marine vessels
PETERPAUL,9163269,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/835,GUR War & Sanctions – Marine vessels
ARNO BABAJANYAN,9163764,273210470,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/985,GUR War & Sanctions – Marine vessels
AVIOR,9164512,273415140,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/986,GUR War & Sanctions – Marine vessels
THOTH,9164718,273253080,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1239,GUR War & Sanctions – Marine vessels
ASTORIA,9166314,273453790,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1062,GUR War & Sanctions – Marine vessels
FT ISLAND,9166675,334017000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/634,GUR War & Sanctions – Marine vessels
ZEVS,9168946,613833000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/465,GUR War & Sanctions – Marine vessels
MASAL,9169421,422169700,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/755,GUR War & Sanctions – Marine vessels
CILICIA,9171175,273436640,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/927,GUR War & Sanctions – Marine vessels
PIONЕ,9171345,511101538,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/935,GUR War & Sanctions – Marine vessels
IMPALAS,9171448,668116257,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1092,GUR War & Sanctions – Marine vessels
CHIL 1,9171498,307100000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1109,GUR War & Sanctions – Marine vessels
PU YANG,9174220,750769000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/392,GUR War & Sanctions – Marine vessels
ARES,9174397,649114000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1258,GUR War & Sanctions – Marine vessels
ZAMBRA,9175078,629009050,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/989,GUR War & Sanctions – Marine vessels
KATSUYA,9178068,629009490,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1263,GUR War & Sanctions – Marine vessels
ASTERIX,9181194,629009370,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/828,GUR War & Sanctions – Marine vessels
AMOR,9182291,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1108,GUR War & Sanctions – Marine vessels
ION,9183271,613003744,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/637,GUR War & Sanctions – Marine vessels
NEON,9183295,667002409,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/513,GUR War & Sanctions – Marine vessels
GELOR,9185528,613081409,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/469,GUR War & Sanctions – Marine vessels
MERU,9187227,620999801,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/479,GUR War & Sanctions – Marine vessels
KYLO,9189146,620800028,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/575,GUR War & Sanctions – Marine vessels
GLOBAL ACE,9190078,374808000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1110,GUR War & Sanctions – Marine vessels
YATEEKA,9191553,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/839,GUR War & Sanctions – Marine vessels
DELIVER,9194983,629009044,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/530,GUR War & Sanctions – Marine vessels
SKAGE,9194995,314001089,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/455,GUR War & Sanctions – Marine vessels
ELVA,9196644,668116202,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/632,GUR War & Sanctions – Marine vessels
HORNET,9197844,306193000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/391,GUR War & Sanctions – Marine vessels
GLOBAL STAR,9198082,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/773,GUR War & Sanctions – Marine vessels
MD MIRANDA,9198290,570101472,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/937,GUR War & Sanctions – Marine vessels
PHONIX,9198317,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/757,GUR War & Sanctions – Marine vessels
MARIA,9198783,273610900,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/657,GUR War & Sanctions – Marine vessels
